Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,LO_3336-TYP,,,D1,,,320,
2,1,2N2222A/ZTX,,,Q1,,,360,
3,1,730k,,,R1,,,213,
4,1,730k,,,R2,,,216,
5,1,730k,,,R3,,,219,
6,1,1k,,,R4,,,29,
7,1,3.3k,,,R5,,,227,
8,1,0.75k,,,R6,,,41,
9,1,6.34k,,,R7,,,242,
10,1,1.5k,,,R8,,,264,
11,1,10k,,,R9,,,268,
12,1,6k,,,R10,,,328,
13,1,400,,,R11,,,340,
14,1,400,,,RLED,,,323,
15,1,4k,,,RREF2,,,331,
16,1,3.65k,,,RREF,,,251,
17,1,{r},,,RSENSOR,,,209,
18,1,AD8614/AD,,,U1,,,200,
19,1,AD8614/AD,,,U2,,,33,
20,1,AD8614/AD,,,U3,,,303,
